|Species|Date First Observed|Most Recent Observation|Favorite Picture|
|Eastern Kingsnake|May 31, 2019|May 31, 2019|Not Personally Photographed|
|Coastal Plains Milksnake|May 31, 2019|May 31, 2019|Not Personally Photographed|
|Red Bellied Snake|May 31, 2019|May 31, 2019|Not Personally Photographed|
|Western Yellow-bellied Racer|June 6, 2019|April 26, 2020|![Western Yellow Bellied Racer]({{ site.baseurl }}/assets/snakes/lifers/yellowBellyRacer.jpg)|
|California Nighsnake|June 18, 2019|June 23, 2019|![California Nightsnake]({{ site.baseurl }}/assets/snakes/lifers/nightsnake.jpg)|
|Monterey Ring-necked Snake|August 11, 2019|August 11, 2019|Not Personally Photographed|
|Common Sharp-tailed Snake|December 23, 2019|June 10, 2020|![Common Sharp Tailed]({{ site.baseurl }}/assets/snakes/lifers/sharpTail.jpg)|
|Pacific Ring-necked Snake|March 15, 2020|April 24, 2020|![Pacific Ring Neck]({{ site.baseurl }}/assets/snakes/lifers/pacRing.jpg)|
|California Red-Sided Gartersnake|April 19, 2020|April 19, 2020|![Red Sided Garter]({{ site.baseurl }}/assets/snakes/lifers/redSidedGarter.jpg)|
|Desert Glossy Snake|May 25, 2020|May 27,2020|![Desert Glossy Snake]({{ site.baseurl }}/assets/snakes/lifers/desertGlossy.jpg)|
|Colorado Desert Shovel-nosed Snake|May 26, 2020|May 27, 2020|![Colorado Desert Shovel Nose]({{ site.baseurl }}/assets/snakes/lifers/shovelNose.jpg)|
|Colorado Desert Sidewinder|May 26, 2020|August 18, 2020|![Colorado Sidewinder]({{ site.baseurl }}/assets/snakes/lifers/sidewinder.jpg)|
|Spotted Leaf-nosed Snake|May 26, 2020|July 4, 2020|![Leaf Nose]({{ site.baseurl }}/assets/snakes/lifers/leafNose.jpg)|
|Mohave Desert Sidewinder|July 1, 2020|July 2, 2020|![Mohave Sidewinder]({{ site.baseurl }}/assets/snakes/lifers/mohaveSidewinder.jpg)|
|Great Basin Gophersnake|July 2, 2020|July 2, 2020|![Great Basin Gophersnake]({{ site.baseurl }}/assets/snakes/lifers/greatBasinGopher.jpg)|
|Mohave Glossy Snake|July 2, 2020|July 2, 2020|![Mohave Glossy]({{ site.baseurl }}/assets/snakes/lifers/mohaveGlossy.jpg)|
|Panamint Rattlesnake|July 2, 2020|July 2, 2020|![Panamint Rattlesnake]({{ site.baseurl }}/assets/snakes/lifers/panamint.jpg)|
|Northern Desert Nightsnake|July 4, 2020|August 21, 2020|![Northern Desert Nightsnake]({{ site.baseurl }}/assets/snakes/lifers/desertNightsnake.jpg)|
|Mohave Shovel-nosed Snake|July 4, 2020|July 4, 2020|![Mohave Shovel-nose]({{ site.baseurl }}/assets/snakes/lifers/mohaveShovel.jpg)|
|Northern Mohave Rattlesnake|August 16, 2020|August 17, 2020|![Mohave Rattlesnake]({{ site.baseurl }}/assets/snakes/lifers/mohaveRattlesnake.jpg)|
|Long-nosed Snake|August 17, 2020|August 17, 2020|![Long-nosed Snake]({{ site.baseurl }}/assets/snakes/lifers/longNosed.jpg)| 
|Southwestern Speckled Rattlesnake|August 18, 2020|August 18, 2020|![Southwestern Speckled Rattlesnake]({{ site.baseurl }}/assets/snakes/lifers/speckledRattlesnake.jpg)|
|Western Diamond-backed Rattlesnake|August 21, 2020|August 21, 2020|![Western Diamond-backed Rattlesnake]({{ site.baseurl }}/assets/snakes/lifers/westernDiamondback.jpg)|
47 total species!
